composition,output
Cd0.3 Hg0.7 Te1,1
Cu1 Br1,1
Lu1 P1,1
Cu3 Sb1 Se4,1
Zn1 O1,1
Sb2 Pt1,1
Zn1 In2 S4,1
K2 Cd3 Te4,1
K4 Ce3 Sn3 S14,1
Cr1 B2 Pb6 O12,1
In1 Sb1,1
Sr2 Be2 B2 O7,1
K2 Nb1 Cu1 S4,1
Pr1 Te2,1
B1 As1,1
Ba4 Ga4 Ge1 Se12,1
Hg1 Se1,1
In5 Ag1 Te8,1
Rb7 Th2 P6 Se21,1
Tl1 S1,1
Cd1 S1,1
Al2 Se3,1
In2 Ge1 Te3,1
Bi1 Se1 Br1,1
Ga1 As0.4 P0.6,1
K2 P1 Au1 S4,1
Cs1 H3 Se2 O6,1
Cs1 Ge1 B3 O7,1
Sn0.03 Te1 Pb0.97,1
As2 Pt1,1
Ga4 Sn1 S7,1
Si3 N4,1
Gd1.05 Sc0.95 Se3,1
Cs2 Zn1 Ge3 Se8,1
Ce1 O2,1
K1 Ag1 As1 S2,1
Mn11 Si19,1
Sr1 Te1,1
Sn0.03 Pb0.97 Se1,1
La1 Cu1 S1 O1,1
Al1 Sb1,1
Tl2 P1 Au1 S4,1
Cs3 Sn3 Cl7 F2,1
Cs1.13 Cd1.13 Bi2.87 Se6,1
Ag1 I1,1
Zn0.9 Hg0.1 Te1,1
Tl1 Bi1 Te3,1
Cu1 Cl1,1
Sn0.08 Pb0.92 Se1,1
Cd1 Se1,1
Cu3 Sb1 S4,1
Ga1 As1,1
Te3 As2,1
Sr1 B6,1
Ga1 N1,1
Cd3 As2,1
W1 O3,1
Yb2 Eu1 Se4,1
Bi2 Te2.4 Se0.6,1
Si0.7 Ge0.3,1
Cu1 N3,1
Cd1 P4,1
Mn1 I2,1
Tm1 As1,1
Zn0.7 Ga0.3 As0.3 Se0.7,1
Gd1 Cd4 B3 O10,1
Cd3 P2,1
Sm1 As1,1
Rb1 Sb1 S2,1
Na5 Gd1 Mo4 O16,1
Sr2 V2 Se3 O15,1
U1 P2 S7,1
Ta1 N1 O1,1
Rb1 Br1,1
Pd1 Se2,1
Ba3 Eu1 P3 O12,1
Sb1 Se1 I1,1
K1 Bi1 Se2,1
Bi0.4 Sb1.6 Te3,1
Na2 Te1 Se3,1
Tl2 Te3,1
Gd3 Al0.74 Si0.7 S7,1
Cs1 Tb1 Zn1 Te3,1
Ba1 B6,1
La5 In3 S9 O3,1
Pb1 N6,1
Ca1 O1,1
Na2 S1,1
Rb2 Cd3 Te4,1
Sn1 Se1,1
Rb2 Ba1 Nb2 Se11,1
Zr1 Ta1 N3,1
Ba3 In2 P4 O16,1
In0.2 Ga0.8 As0.8 P0.2,1
Rb1 Ta3 Te2 O12,1
Ga1 Te1,1
Ag2 Sn1 S3,1
Ba2 Er1 Ga1 Te5,1
Na3 Mo1 Cl1 O4,1
K2 Sn2 Hg3 S8,1
Cd1 Sb1,1
Ge1 Se1,1
Hf1 S3,1
Ga0.9 Hg0.1 Sb0.9 Te0.1,1
In1 Sb2 S4 Cl1,1
Ga1 S1,1
Pt1 S1,1
Ag1 S1,1
Cs2 P2 Se8,1
Y4 Ga1 Sb1 S9,1
Zn0.55 Ga0.45 P0.45 S0.55,1
