composition,output
Cd0.3 Hg0.7 Te1,0.35
Cu1 Br1,3.08
Lu1 P1,1.3
Cu3 Sb1 Se4,0.4
Zn1 O1,3.44
Sb2 Pt1,0.08
Zn1 In2 S4,2.68
K2 Cd3 Te4,2.26
K4 Ce3 Sn3 S14,2.46
Cr1 B2 Pb6 O12,1.8
In1 Sb1,0.22
Sr2 Be2 B2 O7,8.0
K2 Nb1 Cu1 S4,2.82
Pr1 Te2,1.02
B1 As1,1.46
Ba4 Ga4 Ge1 Se12,2.18
Cu1 Br1,2.94
Hg1 Se1,0.07
In5 Ag1 Te8,0.47
Rb7 Th2 P6 Se21,2.07
Tl1 S1,1.37
Cd1 S1,2.5
Al2 Se3,3.1
In2 Ge1 Te3,0.68
Bi1 Se1 Br1,1.5
Ga1 As0.4 P0.6,2.1
K2 P1 Au1 S4,2.63
Cs1 H3 Se2 O6,4.77
Cs1 Ge1 B3 O7,5.76
Sn0.03 Te1 Pb0.97,0.3
As2 Pt1,0.55
Ga4 Sn1 S7,3.1
Si3 N4,5.1
Gd1.05 Sc0.95 Se3,1.2
Cs2 Zn1 Ge3 Se8,2.31
Ce1 O2,3.41
K1 Ag1 As1 S2,2.21
Mn11 Si19,0.8
Sr1 Te1,3.73
Sn0.03 Pb0.97 Se1,0.21
La1 Cu1 S1 O1,3.14
Al1 Sb1,1.67
Tl2 P1 Au1 S4,2.2
Cs3 Sn3 Cl7 F2,2.96
Cs1.13 Cd1.13 Bi2.87 Se6,1.0
Ag1 I1,3.02
Sb2 Pt1,0.11
Zn0.9 Hg0.1 Te1,1.83
Tl1 Bi1 Te3,0.5
Cu1 Cl1,3.24
Sn0.08 Pb0.92 Se1,0.06
Cd1 Se1,1.75
Cu3 Sb1 S4,0.75
Ga1 As1,1.46
Te3 As2,1.76
Sr1 B6,3.68
Ga1 N1,3.25
Cd3 As2,0.24
W1 O3,2.9
Yb2 Eu1 Se4,1.3
Bi2 Te2.4 Se0.6,0.25
Si0.7 Ge0.3,1.0
Cu1 N3,4.17
Cd1 P4,1.05
Mn1 I2,4.4
In1 Sb1,0.24
Tm1 As1,1.18
Cd1 S1,2.6
Zn0.7 Ga0.3 As0.3 Se0.7,1.93
Gd1 Cd4 B3 O10,3.8
Cd3 P2,0.54
Sm1 As1,1.03
Rb1 Sb1 S2,2.1
Na5 Gd1 Mo4 O16,3.38
Sr2 V2 Se3 O15,2.96
U1 P2 S7,1.41
Ga1 As1,1.51
Ta1 N1 O1,2.8
Rb1 Br1,7.65
Pd1 Se2,0.4
Ba3 Eu1 P3 O12,4.09
Rb1 Br1,7.25
Sb1 Se1 I1,1.66
K1 Bi1 Se2,0.7
Bi0.4 Sb1.6 Te3,0.21
Na2 Te1 Se3,1.95
Tl2 Te3,0.69
Gd3 Al0.74 Si0.7 S7,2.34
Cs1 Tb1 Zn1 Te3,2.12
Ba1 B6,2.64
La5 In3 S9 O3,2.6
Pb1 N6,3.02
Ga1 N1,3.24
Ca1 O1,6.97
Na2 S1,2.4
Rb2 Cd3 Te4,2.3
Ag1 I1,2.8
Cd1 Se1,1.84
Sn1 Se1,1.2
